"country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"South Korea","KR","2022-01-23","Films",8,"Jo Pil-ho: The Dawning Rage","",1
"South Korea","KR","2022-01-23","Films",9,"Black Money","",2
"South Korea","KR","2022-01-23","Films",10,"The Pirates","",1
"South Korea","KR","2022-01-23","TV",1,"Our Beloved Summer","Our Beloved Summer: Season 1",7
"South Korea","KR","2022-01-23","TV",2,"Bulgasal: Immortal Souls","Bulgasal: Immortal Souls: Season 1",5
"South Korea","KR","2022-01-23","TV",3,"Single’s Inferno","Single’s Inferno: Season 1",5
"South Korea","KR","2022-01-23","TV",4,"Itaewon Class","Itaewon Class: Season 1",3
"South Korea","KR","2022-01-23","TV",5,"My Mister","My Mister: Season 1",3
"South Korea","KR","2022-01-23","TV",6,"I am Solo","I am Solo: Part 5 -",2
"South Korea","KR","2022-01-23","TV",7,"The Silent Sea","The Silent Sea: Season 1",5
"South Korea","KR","2022-01-23","TV",8,"Guardian: The Lonely and Great God","Guardian: The Lonely and Great God: Season 1",11
"South Korea","KR","2022-01-23","TV",9,"Hotel Del Luna","Hotel Del Luna: Season 1",9
"South Korea","KR","2022-01-23","TV",10,"Mad for Each Other","Mad for Each Other: Season 1",2
"South Korea","KR","2022-01-16","Films",1,"Mother/Android","",2
"South Korea","KR","2022-01-16","Films",2,"Don't Look Up","",4
"South Korea","KR","2022-01-16","Films",3,"Miracle: Letters to the President","",4
"South Korea","KR","2022-01-16","Films",4,"Escape From Mogadishu","",5
"South Korea","KR","2022-01-16","Films",5,"Black Money","",1
"South Korea","KR","2022-01-16","Films",6,"Brazen","",1
"South Korea","KR","2022-01-16","Films",7,"Shaolin","",1
"South Korea","KR","2022-01-16","Films",8,"Sinkhole","",9
"South Korea","KR","2022-01-16","Films",9,"Spider-Man: Far from Home","",4
"South Korea","KR","2022-01-16","Films",10,"The Matrix","",2
"South Korea","KR","2022-01-16","TV",1,"Our Beloved Summer","Our Beloved Summer: Season 1",6
"South Korea","KR","2022-01-16","TV",2,"Single’s Inferno","Single’s Inferno: Season 1",4
"South Korea","KR","2022-01-16","TV",3,"Bulgasal: Immortal Souls","Bulgasal: Immortal Souls: Season 1",4
"South Korea","KR","2022-01-16","TV",4,"The Silent Sea","The Silent Sea: Season 1",4
"South Korea","KR","2022-01-16","TV",5,"Love After Divorce","Love After Divorce: Season 2",11
"South Korea","KR","2022-01-16","TV",6,"Itaewon Class","Itaewon Class: Season 1",2
"South Korea","KR","2022-01-16","TV",7,"Guardian: The Lonely and Great God","Guardian: The Lonely and Great God: Season 1",10
"South Korea","KR","2022-01-16","TV",8,"I am Solo","I am Solo: Part 1 - Part 4",9
"South Korea","KR","2022-01-16","TV",9,"I am Solo","I am Solo: Part 5 -",1
"South Korea","KR","2022-01-16","TV",10,"Hotel Del Luna","Hotel Del Luna: Season 1",8
"South Korea","KR","2022-01-09","Films",1,"Don't Look Up","",3
"South Korea","KR","2022-01-09","Films",2,"Miracle: Letters to the President","",3
"South Korea","KR","2022-01-09","Films",3,"Escape From Mogadishu","",4
"South Korea","KR","2022-01-09","Films",4,"Mother/Android","",1
"South Korea","KR","2022-01-09","Films",5,"Dunkirk","",1
"South Korea","KR","2022-01-09","Films",6,"The Precious memory of Gogo Brothers","",2
"South Korea","KR","2022-01-09","Films",7,"The Matrix","",1
"South Korea","KR","2022-01-09","Films",8,"Doomsday","",1
"South Korea","KR","2022-01-09","Films",9,"The Amazing Spider-Man","",4
"South Korea","KR","2022-01-09","Films",10,"Sinkhole","",8
"South Korea","KR","2022-01-09","TV",1,"Our Beloved Summer","Our Beloved Summer: Season 1",5
"South Korea","KR","2022-01-09","TV",2,"Single’s Inferno","Single’s Inferno: Season 1",3
"South Korea","KR","2022-01-09","TV",3,"Bulgasal: Immortal Souls","Bulgasal: Immortal Souls: Season 1",3
"South Korea","KR","2022-01-09","TV",4,"The Silent Sea","The Silent Sea: Season 1",3
"South Korea","KR","2022-01-09","TV",5,"Love After Divorce","Love After Divorce: Season 2",10
"South Korea","KR","2022-01-09","TV",6,"Guardian: The Lonely and Great God","Guardian: The Lonely and Great God: Season 1",9
"South Korea","KR","2022-01-09","TV",7,"The Hungry and the Hairy","The Hungry and the Hairy: Season 1",5
"South Korea","KR","2022-01-09","TV",8,"I am Solo","I am Solo: Part 1 - Part 4",8
"South Korea","KR","2022-01-09","TV",9,"Emily in Paris","Emily in Paris: Season 2",3
"South Korea","KR","2022-01-09","TV",10,"Itaewon Class","Itaewon Class: Season 1",1
"South Korea","KR","2022-01-02","Films",1,"Don't Look Up","",2
"South Korea","KR","2022-01-02","Films",2,"Miracle: Letters to the President","",2
"South Korea","KR","2022-01-02","Films",3,"Escape From Mogadishu","",3
"South Korea","KR","2022-01-02","Films",4,"Death Wish (2018)","",1
"South Korea","KR","2022-01-02","Films",5,"The Precious memory of Gogo Brothers","",1
"South Korea","KR","2022-01-02","Films",6,"The Amazing Spider-Man","",3
"South Korea","KR","2022-01-02","Films",7,"Crime Solving Special Squad","",1
"South Korea","KR","2022-01-02","Films",8,"Spider-Man: Far from Home","",3
"South Korea","KR","2022-01-02","Films",9,"Spider-Man: Homecoming","",3
"South Korea","KR","2022-01-02","Films",10,"Sinkhole","",7
"South Korea","KR","2022-01-02","TV",1,"The Silent Sea","The Silent Sea: Season 1",2
"South Korea","KR","2022-01-02","TV",2,"Our Beloved Summer","Our Beloved Summer: Season 1",4
"South Korea","KR","2022-01-02","TV",3,"Single’s Inferno","Single’s Inferno: Season 1",2
"South Korea","KR","2022-01-02","TV",4,"Bulgasal: Immortal Souls","Bulgasal: Immortal Souls: Season 1",2
"South Korea","KR","2022-01-02","TV",5,"Emily in Paris","Emily in Paris: Season 2",2
"South Korea","KR","2022-01-02","TV",6,"The Hungry and the Hairy","The Hungry and the Hairy: Season 1",4
"South Korea","KR","2022-01-02","TV",7,"Guardian: The Lonely and Great God","Guardian: The Lonely and Great God: Season 1",8
"South Korea","KR","2022-01-02","TV",8,"The Witcher","The Witcher: Season 2",3
"South Korea","KR","2022-01-02","TV",9,"I am Solo","I am Solo: Part 1 - Part 4",7
"South Korea","KR","2022-01-02","TV",10,"My Mister","My Mister: Season 1",2
